d,t_mean,t_stdev
10,282.457,6.42656
9,191.419,7.81556
8,131.212,4.5173
7,264.696,8.97402
6,224.982,9.75572
5,185.526,12.9446
4,234.458,4.07383
3,230.059,2.10195
2,227.773,0.219296
1,224.523,0.313798
