N,t_mean,t_stdev
5,0.213607,0.00188929
10,0.484013,0.00534346
15,0.771178,0.0135964
20,1.0701,0.0283019
25,1.29268,0.00982468
30,1.60475,0.0118126
35,1.93583,0.0168408
40,2.2303,0.00625166
45,2.56264,0.0265829
50,2.91094,0.0248818
