r,t_mean,t_stdev
5,191.924,2.7695
165,321.33,10.6263
6092,261.312,2.97252
24886,413.429,2.91333
48288,324.261,1.55215
91290,290.886,1.33503
133632,285.112,4.80513
1806428,274.491,4.85324
