N,t_mean,t_stdev
5,0.218161,0.00511543
10,0.480963,0.00438038
15,0.769588,0.0052603
20,1.07618,0.00654922
25,1.3991,0.00824865
30,1.72614,0.0110165
35,2.06739,0.0138264
40,2.3807,0.0148347
45,2.72145,0.0155242
50,3.07666,0.0145042
