r,t_mean,t_stdev
23,303.782,2.82323
291,255.108,1.57923
679,328.391,2.53092
1390,256.241,3.67163
4556,226.247,4.00273
14359,172.669,4.86028
51663,198.684,5.59105
252991,177.594,4.39991
254360,355.272,2.48776
529792,241.537,0.27437
