N,t_mean,t_stdev
5,0.213345,0.0227285
10,0.457681,0.00152055
15,0.70731,0.00273892
20,0.979997,0.00656749
25,1.28566,0.0103362
30,1.60636,0.0142977
35,1.93505,0.00744642
40,2.27365,0.00390722
45,2.61698,0.00750173
50,2.96024,0.0160221
