N,t_mean,t_stdev
5,0.207264,0.00678917
10,0.442755,0.000526895
15,0.701418,0.00279294
20,0.971887,0.0128445
25,1.2655,0.00801818
30,1.57985,0.0072883
35,1.92284,0.00592923
40,2.26044,0.00334375
45,2.59121,0.00266947
50,2.933,0.00347078
