N,t_mean,t_stdev
5,0.308807,0.0235774
10,0.607893,0.00145237
15,0.959727,0.00220106
20,1.38952,0.0101202
25,1.8621,0.0145964
30,2.36669,0.015828
35,2.89374,0.013584
40,3.43841,0.00996801
45,3.9992,0.0113494
50,4.54737,0.00379095
