N,t_mean,t_stdev
5,0.297869,0.00139496
10,0.611997,0.00143141
15,0.962136,0.00416291
20,1.39287,0.0103316
25,1.8615,0.0141381
30,2.53832,0.0220913
35,3.10997,0.015814
40,3.67264,0.0167817
45,4.23712,0.0182373
50,4.77966,0.0380641
