d,t_mean,t_stdev
10,320.875,12.1705
9,198.503,0.696342
8,307.801,1.04655
7,263.995,2.92136
6,250.342,0.630024
5,172.851,3.00453
4,310.519,8.70074
3,312.264,18.6706
2,295.071,10.75
1,296.605,13.2986
