N,t_mean,t_stdev
5,3.58947,0.0740538
10,7.94714,0.0119553
15,12.5623,0.0634547
20,16.0497,0.0191265
25,20.666,0.0428405
30,25.2159,0.0941723
35,30.1968,0.0880662
40,34.8815,0.0251784
45,39.7718,0.0301148
50,44.6645,0.0464282
