r,t_mean,t_stdev
5,0.000537573,8.95549e-05
165,0.0142384,0.000735459
6092,0.519388,0.00213521
24886,1.58722,0.00138589
48288,4.06843,0.00247061
91290,7.22445,0.00553493
133632,10.7025,0.00613318
1806428,144.951,0.0482865
