d,t_mean,t_stdev
10,0.0178004,0.00136368
9,0.0175409,0.000759094
8,0.0172402,0.000853622
7,0.0176692,0.00137875
6,0.0174662,0.000897044
5,0.0175837,0.000666836
4,0.0174349,0.000723802
3,0.0173237,0.000745603
2,0.0172047,0.000766558
1,0.0173231,0.000775178
