d,t_mean,t_stdev
10,2.84375e-07,6.33129e-07
9,3.32375e-07,7.48662e-07
8,3.285e-07,7.29173e-07
7,3.72375e-07,8.74378e-07
6,4.165e-07,9.97883e-07
5,3.295e-07,7.39467e-07
4,3.415e-07,8.01884e-07
3,4.10875e-07,9.5236e-07
2,3.50625e-07,8.30591e-07
1,3.37875e-07,7.91661e-07
