r,t_mean,t_stdev
3,0.000148473,4.2118e-05
99,0.0109511,0.000587004
131,0.0128368,0.000593694
10231,0.99963,0.00399316
18557,1.73325,0.0027421
30901,2.11764,0.00244787
132207,12.996,0.0739787
457547,44.6248,0.550734
3008372,273.766,3.55038
3614402,347.442,9.1019
