d,t_mean,t_stdev
10,33.8569,0.0974239
9,33.2311,0.431476
8,32.6454,0.0483636
7,32.8311,0.268306
6,32.5659,0.00956767
5,32.553,0.0270965
4,32.8673,0.00974813
3,32.6396,0.0141557
2,32.6113,0.0424376
1,33.2367,0.186211
