N,t_mean,t_stdev
5,3.5692,0.213596
10,8.07652,0.0892177
15,13.0056,0.130357
20,18.2557,0.258204
25,23.3918,0.280043
30,28.7563,0.577253
35,34.1205,0.0988653
40,39.8014,0.187639
45,45.004,0.428856
50,50.056,0.287403
