r,t_mean,t_stdev
23,0.00179161,0.000210679
291,0.0207736,0.000707272
679,0.0422731,0.000810665
1390,0.0910341,0.000291622
4556,0.263164,0.000429267
14359,0.645453,0.00105884
51663,2.28886,0.00205232
252991,14.2711,0.15689
254360,13.6778,0.0140394
529792,33.7624,0.267004
